ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
18187,metropolises,NN,3,"0,2,1",{(metro)(pol)>sis>},100,3,11691,29.4117647058823,18,25765,28.9473684210526,39,63372,3,1.58E-05,0.000154487872702
18263,middleweights,NN,3,"0,2,1",{(middle)}{(weigh)>t>},80,6,46730,43.4782608695652,24,56346,47.9166666666666,49,133535,1,2.25E-05,0.000463463618106
18500,matchmakers,NN,3,"0,2,1",{(match)}{(make)}>er>,33.3333333333333,13,62749,33.3333333333333,40,1073485,33.5239771227452,2274,4569119,2,3.55E-05,0.025027035377723
18522,matriarchies,NN,3,"0,2,1",{(mater)(arch)}>y>,77.7777777777777,10,3480,65,41,38937,36.1368209255533,2486,3870233,1,4.99E-05,0.029816159431485
18632,mealybugs,NN,3,"0,2,1",{(meal)}>y>{(bug)},70,11,12268,47.5653923541247,2486,3870233,4.99E-05,0.029816159431485,58.3333333333333,13,65643,3
18770,magnanimities,NN,3,"0,2,1",{(magn)(anim)>ity>},62.5,9,7228,58.3333333333333,13,31452,64.9395509499136,580,1647588,3,1.76E-05,0.004480148308358
18820,maidenhair,NN,3,"0,2,1",{(maid)>en>}{(hair)},80,16,9264,86.2068965517241,204,655590,1.68E-05,0.001699366599722,76.9230769230769,27,52736,4
18821,maidenlike,JJ|RB,3,"0,2,1",{(maid)>en>}{(like)},100,16,9264,95.5665024630541,204,655590,1.68E-05,0.001699366599722,69.8630136986301,74,1232275,4
18823,maidservants,NN,3,"0,2,1",{(maid)}{(serve)}>ant>,66.6666666666666,16,9264,83.3333333333333,43,651056,80.5615550755939,464,1534593,3,7.82E-06,0.001853854472424
18884,maledictions,NN,3,"0,2,1",{(male)(dict)}>ion>,100,7,68630,84.2105263157894,39,77658,82.0400500625782,1599,6530204,3,9.03E-06,0.009114784489418
